chunk_id,section_id,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
IMG2019_FACT_039,脑灌注成像技术,fact,,利用 和磁共振灌注成像（ ）进行的灌注影像已经成为评估卒中患者脑血流灌注情况的常规手段。尽管还缺乏一...,0,0,,
IMG2019_FACT_040,一、CTP,fact,,是指静脉注射对比剂的同时对选定的层面进行连续多次扫描，以获得该层面内每一个像素的时间 密度曲线。此项...,0,0,,
IMG2019_FACT_041,（一）CTP检测缺血半暗带,fact,,在检测缺血性脑损伤以及区分梗死灶和缺血半暗带上准确性很高。 检测脑缺血和梗死灶的敏感度最低为 ［93...,0,0,,
IMG2019_FACT_042,（二） 在侧支循环中的应用,fact,,侧支循环与卒中的复发、预后、溶栓疗效以及出血转化密切相关［96］ 。 能定量反映侧支循环的情况。由于...,0,0,,
IMG2019_FACT_043,（三）多模态CT在急性缺血性卒中诊疗中的作用,fact,,随着溶栓、取栓、桥接治疗技术在急诊缺血性卒中治疗中的广泛应用，以及对缺血性脑卒中脑生理变化和时间矩阵...,0,0,,
IMG2019_FACT_044,二、,fact,,是一种建立在血流流动效应基础上的成像方法。它可以描述血流通过组织血管网的情况，无创地评价组织的血流灌...,0,0,,
IMG2019_FACT_045,（一）DSC,fact,,DSC是一种通过注入对比剂来检查受损组织从而评估大脑微循环灌注的磁共振半定量方法，与灌注不同的是 效...,0,0,,
IMG2019_FACT_046,（二）,fact,,是一种利用血液作为内源性示踪剂的磁共振灌注方法。与对比剂首过磁共振灌注成像不同，它无需用到任何对比剂...,0,0,,
IMG2019_REC_047,（二）,rec,,（） 帮助临床区分永久性的梗死和可逆转的缺血半暗带，有助于溶栓和预后的判断（B级证据，Ⅱ级推荐）；（...,0,0,,
IMG2019_FACT_048,一、DTI,fact,,是磁共振 基础上发展起来的一种新的成像方法，它通过在多个方向上施加弥散敏感梯度来测量水分子弥散的程度...,0,0,,
IMG2019_FACT_049,二、BOLD,fact,,是检测脑组织局部活动功能的一种技术，当脑活动区域局部血液中氧合血红蛋白与去氧血红蛋白比例变化时，所引...,0,0,,
IMG2019_FACT_050,三、MRS,fact,,利用质子在不同化合物中共振频率轻微不同（即化学位移现象），来测定化合物的组成成分及其含量，是目前唯一...,0,0,,
IMG2019_FACT_051,四、,fact,,是一项新的对组织磁化率差异及血氧水平依赖效应敏感的对比增强技术，是采用三维采集、薄层重建、完全流动补...,0,0,,
IMG2019_FACT_052,五、血流动力学成像技术,fact,,和 技术可以提供高分辨率的静态图像，在血管类疾病中已经得到非常广泛的应用，近年来随着计算机成像技术的...,0,0,,
IMG2019_REC_053,五、血流动力学成像技术,rec,,（） 有助于对神经变性程度的判断，预测患者的运动功能转归（ 级证据， 级推荐）；（2）BOLD序列可...,0,0,,
IMG2019_FACT_054,执笔 徐运、黄一宁,fact,,专家委员会成员（按姓名字母顺序排列） 陈海波（北京医院）、陈生弟（上海交通大学医学院附属瑞金医院）、...,0,0,,
IMG2019_FACT_055,参 考 文 献,fact,,[1] 中华医学会神经病学分会 中华医学会神经病学分会脑血管病学组 中国脑血管病影像应用指南 中华神...,0,0,,
IMG2019_FACT_056,本刊对来稿中统计学处理的要求,fact,,统计学符号：按照 — 《统计学词汇及符号》的有关规定，统计学符号一律采用斜体排印。常用的有：（）样本...,0,0,,
